"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","test_run_tool[get_pull_request-get_pull_request]","src.tests.ado.repos","Thu Mar 20 10:51:13 GMT 2025","passed","Thu Mar 20 10:51:13 GMT 2025","TestReposApiWrapperValidateToolkit","test_unit_ado_repos","",""
"Test logger called when deletion fails due to an API error.","2","test_delete_page_by_path_logs_error","src.tests.ado.wiki","Thu Mar 20 10:51:17 GMT 2025","passed","Thu Mar 20 10:51:17 GMT 2025","TestWikiApiWrapperExceptions","test_unit_ado_wiki","",""
"","3","test_get_work_items_exception","src.tests.ado.repos","Thu Mar 20 10:51:14 GMT 2025","passed","Thu Mar 20 10:51:14 GMT 2025","TestReposToolsExceptions","test_unit_ado_repos","",""
"Test modification fails due to invalid wiki identifier.","3","test_modify_wiki_page_project_not_found","src.tests.ado.wiki","Thu Mar 20 10:51:17 GMT 2025","passed","Thu Mar 20 10:51:17 GMT 2025","TestWikiApiWrapperNegative","test_unit_ado_wiki","",""
"Test behavior when input is None.","1","test_read_docx_from_bytes_none_input","src.tests.sharepoint","Thu Mar 20 10:51:17 GMT 2025","passed","Thu Mar 20 10:51:17 GMT 2025","TestSharepointReadDocxFromBytes","test_sharepoin_utils","",""
"Test get test plan exception.","1","test_get_test_plan_error","src.tests.ado.test_plan","Thu Mar 20 10:51:14 GMT 2025","passed","Thu Mar 20 10:51:14 GMT 2025","TestPlanApiWrapperNegative","test_unit_ado_test_plan","",""
"Test generation of diff when no changes exist between base and target files.","1","test_generate_diff_no_changes","src.tests.ado","Thu Mar 20 10:51:14 GMT 2025","passed","Thu Mar 20 10:51:14 GMT 2025","TestAdoUtils","test_ado_utils","",""
"","1","test_run_tool[get_wiki_page_by_id-get_wiki_page_by_id]","src.tests.ado.wiki","Thu Mar 20 10:51:15 GMT 2025","passed","Thu Mar 20 10:51:15 GMT 2025","TestWikiApiWrapperValidateToolkit","test_unit_ado_wiki","",""
"","3","test_validate_toolkit_connection_error","src.tests.ado.test_plan","Thu Mar 20 10:51:14 GMT 2025","passed","Thu Mar 20 10:51:14 GMT 2025","TestPlanApiWrapperValidateToolkit","test_unit_ado_test_plan","",""
"Test successful reading of .docx content from bytes.","35","test_read_docx_from_bytes_positive","src.tests.sharepoint","Thu Mar 20 10:51:17 GMT 2025","passed","Thu Mar 20 10:51:17 GMT 2025","TestSharepointReadDocxFromBytes","test_sharepoin_utils","",""
