"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9","test_validate_toolkit_success","src.tests.ado.test_plan","Wed Mar 19 09:43:29 GMT 2025","passed","Wed Mar 19 09:43:29 GMT 2025","TestPlanApiWrapperValidateToolkit","test_unit_ado_test_plan","",""
"","2","test_parse_pull_requests_multiple_commits","src.tests.ado.repos","Wed Mar 19 09:43:28 GMT 2025","passed","Wed Mar 19 09:43:28 GMT 2025","TestReposToolsPositive","test_unit_ado_repos","",""
"","2","test_create_branch_exception","src.tests.ado.repos","Wed Mar 19 09:43:29 GMT 2025","passed","Wed Mar 19 09:43:29 GMT 2025","TestReposToolsExceptions","test_unit_ado_repos","",""
"","3","test_comment_on_pull_request_success","src.tests.ado.repos","Wed Mar 19 09:43:28 GMT 2025","passed","Wed Mar 19 09:43:28 GMT 2025","TestReposToolsPositive","test_unit_ado_repos","",""
"","1","test_run_tool[update_file-update_file]","src.tests.ado.repos","Wed Mar 19 09:43:28 GMT 2025","passed","Wed Mar 19 09:43:28 GMT 2025","TestReposApiWrapperValidateToolkit","test_unit_ado_repos","",""
"","1","test_run_tool[delete_test_plan-delete_test_plan]","src.tests.ado.test_plan","Wed Mar 19 09:43:29 GMT 2025","passed","Wed Mar 19 09:43:29 GMT 2025","TestPlanApiWrapperValidateToolkit","test_unit_ado_test_plan","",""
"","3","test_delete_file_exception","src.tests.ado.repos","Wed Mar 19 09:43:29 GMT 2025","passed","Wed Mar 19 09:43:29 GMT 2025","TestReposToolsExceptions","test_unit_ado_repos","",""
"Test successful creation of a test plan.","1","test_create_test_plan_success","src.tests.ado.test_plan","Wed Mar 19 09:43:29 GMT 2025","passed","Wed Mar 19 09:43:29 GMT 2025","TestPlanApiWrapperPositive","test_unit_ado_test_plan","",""
"Test successful retrieval of a single test suite by ID.","1","test_get_test_suite_by_id_success","src.tests.ado.test_plan","Wed Mar 19 09:43:29 GMT 2025","passed","Wed Mar 19 09:43:29 GMT 2025","TestPlanApiWrapperPositive","test_unit_ado_test_plan","",""
"","2","test_create_pr_exception","src.tests.ado.repos","Wed Mar 19 09:43:29 GMT 2025","passed","Wed Mar 19 09:43:29 GMT 2025","TestReposToolsExceptions","test_unit_ado_repos","",""
"","2","test_get_files_exception","src.tests.ado.repos","Wed Mar 19 09:43:29 GMT 2025","passed","Wed Mar 19 09:43:29 GMT 2025","TestReposToolsExceptions","test_unit_ado_repos","",""
"Test addition with missing required fields in parameters.","1","test_add_test_case_missing_field","src.tests.ado.test_plan","Wed Mar 19 09:43:29 GMT 2025","passed","Wed Mar 19 09:43:29 GMT 2025","TestPlanApiWrapperNegative","test_unit_ado_test_plan","",""
"","1","test_run_tool[create_test_suite-create_test_suite]","src.tests.ado.test_plan","Wed Mar 19 09:43:29 GMT 2025","passed","Wed Mar 19 09:43:29 GMT 2025","TestPlanApiWrapperValidateToolkit","test_unit_ado_test_plan","",""
"","2","test_delete_file_success","src.tests.ado.repos","Wed Mar 19 09:43:28 GMT 2025","passed","Wed Mar 19 09:43:28 GMT 2025","TestReposToolsPositive","test_unit_ado_repos","",""
"Test create test suite with missed fields.","2","test_create_test_suite_missing_field","src.tests.ado.test_plan","Wed Mar 19 09:43:29 GMT 2025","passed","Wed Mar 19 09:43:29 GMT 2025","TestPlanApiWrapperNegative","test_unit_ado_test_plan","",""
"","2","test_parse_pull_requests_no_commits","src.tests.ado.repos","Wed Mar 19 09:43:28 GMT 2025","passed","Wed Mar 19 09:43:28 GMT 2025","TestReposToolsNegative","test_unit_ado_repos","",""
"Test retrieval with an invalid suite ID.","1","test_get_test_suite_invalid_suite_id","src.tests.ado.test_plan","Wed Mar 19 09:43:29 GMT 2025","passed","Wed Mar 19 09:43:29 GMT 2025","TestPlanApiWrapperNegative","test_unit_ado_test_plan","",""
"Test retrieval when no test case is found.","1","test_get_test_case_not_found","src.tests.ado.test_plan","Wed Mar 19 09:43:29 GMT 2025","passed","Wed Mar 19 09:43:29 GMT 2025","TestPlanApiWrapperPositive","test_unit_ado_test_plan","",""
"","1","test_update_file_protected_branch","src.tests.ado.repos","Wed Mar 19 09:43:29 GMT 2025","passed","Wed Mar 19 09:43:29 GMT 2025","TestReposToolsNegative","test_unit_ado_repos","",""
"","1","test_run_tool[get_pull_request-get_pull_request]","src.tests.ado.repos","Wed Mar 19 09:43:28 GMT 2025","passed","Wed Mar 19 09:43:28 GMT 2025","TestReposApiWrapperValidateToolkit","test_unit_ado_repos","",""
"","1","test_run_tool[list_pull_request_files-list_pull_request_diffs]","src.tests.ado.repos","Wed Mar 19 09:43:28 GMT 2025","passed","Wed Mar 19 09:43:28 GMT 2025","TestReposApiWrapperValidateToolkit","test_unit_ado_repos","",""
"Test create test suite logger exception.","2","test_create_test_suite_exception","src.tests.ado.test_plan","Wed Mar 19 09:43:30 GMT 2025","passed","Wed Mar 19 09:43:30 GMT 2025","TestPlanApiWrapperExceptions","test_unit_ado_test_plan","",""
"Test retrieval with an exception caused by the API.","2","test_get_test_cases_exception","src.tests.ado.test_plan","Wed Mar 19 09:43:29 GMT 2025","passed","Wed Mar 19 09:43:29 GMT 2025","TestPlanApiWrapperNegative","test_unit_ado_test_plan","",""
"","1","test_validate_toolkit_missing_parameters_project[repository_id]","src.tests.ado.repos","Wed Mar 19 09:43:28 GMT 2025","passed","Wed Mar 19 09:43:28 GMT 2025","TestReposApiWrapperValidateToolkit","test_unit_ado_repos","",""
"","2","test_set_active_branch_failure","src.tests.ado.repos","Wed Mar 19 09:43:28 GMT 2025","passed","Wed Mar 19 09:43:28 GMT 2025","TestReposToolsNegative","test_unit_ado_repos","",""
"","2","test_list_files_fallback_to_base_branch","src.tests.ado.repos","Wed Mar 19 09:43:28 GMT 2025","passed","Wed Mar 19 09:43:28 GMT 2025","TestReposToolsPositive","test_unit_ado_repos","",""
"","1","test_run_tool[set_active_branch-set_active_branch]","src.tests.ado.repos","Wed Mar 19 09:43:28 GMT 2025","passed","Wed Mar 19 09:43:28 GMT 2025","TestReposApiWrapperValidateToolkit","test_unit_ado_repos","",""
"","1","test_list_files_default_active_branch","src.tests.ado.repos","Wed Mar 19 09:43:28 GMT 2025","passed","Wed Mar 19 09:43:28 GMT 2025","TestReposToolsPositive","test_unit_ado_repos","",""
"","2","test_get_files_successful","src.tests.ado.repos","Wed Mar 19 09:43:28 GMT 2025","passed","Wed Mar 19 09:43:28 GMT 2025","TestReposToolsPositive","test_unit_ado_repos","",""
"","2","test_create_branch_success","src.tests.ado.repos","Wed Mar 19 09:43:28 GMT 2025","passed","Wed Mar 19 09:43:28 GMT 2025","TestReposToolsPositive","test_unit_ado_repos","",""
"","3","test_get_files_default_branch","src.tests.ado.repos","Wed Mar 19 09:43:28 GMT 2025","passed","Wed Mar 19 09:43:28 GMT 2025","TestReposToolsPositive","test_unit_ado_repos","",""
